6450366;Anglet;
3037598;Angouleme;
6447298;Angoulême;
3037596;Angoulins;
6452300;Angoumé;
6450367;Angous;
6454962;Angoville;
6449444;Angoville-au-Plain;
6449445;Angoville-sur-Ay;
3037585;Angres;
6452301;Angresse;
6447175;Anguerny;
6446433;Anguilcourt-le-Sart;
3037576;Angy;
6450368;Anhaux;
3037574;Anhiers;
3037572;Aniane;
3037571;Aniche;
6447176;Anisy;
3037564;Anizy-le-Chateau;
3037552;Anliac;
3037548;Annay;
6447177;Annebault;
3037544;Annebecq;
6455254;Annecy;
6451006;Annecy-le-Vieux;
6451007;Annemasse;
3037534;Annequin;
3037532;Annesse-et-Beaulieu;
3037531;Annet-sur-Marne;
6449446;Anneville-en-Saire;
6449447;Anneville-sur-Mer;
3037523;Anneyron;
3037521;Annezin;
6614444;Annœullin;
6454927;Annonay;
3037512;Annot;
6449448;Annoville;
3037506;Anor;
6614052;Anould;
6450370;Anoye;
3037490;Ansauvillers;
3037489;Anse;
3037482;Ansouis;
3037481;Anstaing;
6449257;Antagnac;
6447810;Anteuil;
6615998;Antezant-la-Chapelle;
6449258;Anthé;
3037457;Anthy-sur-Leman;
6452097;Antibes;
6452154;Antignac;
3037442;Antigny;
6452447;Antoingt;
6452093;Antonaves;
6447743;Antonne-et-Trigonant;
6452604;Antony;
3037418;Antrain;
3037417;Antran;
6613160;Anzat-le-Luguet;
3037397;Anzin;
3037396;Anzin-Saint-Aubin;
3037393;Aoste;
3037390;Aouste-sur-Sye;
6613161;Apchat;
3037384;Apcher;
6449449;Appeville;
3037372;Appietto;
6613065;Appilly;
3037370;Appoigny;
6448711;Apprieu;
3037365;Apremont;
3037352;Apt;
3037345;Araches-la-Frasse;
6451008;Arâches-la-Frasse;
6450371;Aramits;
3037331;Aramon;
3037329;Arance;
6450372;Arancou;
6452322;Araules;
6452263;Arbanats;
3037303;Arbent;
6452264;Arbis;
3037287;Arbois;
3037282;Arbonne;
3037281;Arbonne-la-Foret;
3037277;Arbouans;
6452302;Arboucave;
6450376;Arbouet-Sussaute;
6450377;Arbus;
6614290;Arcachon;
6450378;Arcangues;
3037224;Arc-et-Senans;
3037221;Arcey;
3037218;Archamps;
6447235;Arches;
3037206;Archettes;
3037199;Archigny;
6448381;Arcins;
6452119;Arcis-sur-Aube;
6450440;Arcizans-Avant;
3037263;Arc-les-Gray;
3037168;Arconnay;
6452450;Arconsat;
3037158;Arc-sur-Tille;
6613168;Arcueil;
3037133;Ardentes;
6617307;Ardes;
3037123;Ardin;
3037113;Ardres;
6452303;Arengosse;
3037096;Arenthon;
3037095;Ares;
6448382;Arès;
6450380;Arette;
3037083;Arfeuilles;
6450382;Argagnon;
6447178;Arganchy;
6449889;Argancy;
3037068;Argelers;
3037070;Argeles-Gazost;
3037067;Argeliers;
6447179;Argences;
6452436;Argentan;
3037049;Argentat;
